Indicator,Year,Group,Component,Quantity,Indicator value
Expected survival of listed threatened ecological communities,2020,Transitional (Terrestrial - Freshwater),already_lost,Count,0
Expected survival of listed threatened ecological communities,2020,Transitional (Terrestrial - Freshwater),already_lost,Percent,0
Expected survival of listed threatened ecological communities,2020,Transitional (Terrestrial - Freshwater),exp_survival,Count,8.15
Expected survival of listed threatened ecological communities,2020,Transitional (Terrestrial - Freshwater),exp_survival,Percent,0.582142857142857
Expected survival of listed threatened ecological communities,2020,Transitional (Terrestrial - Freshwater),potential_loss,Count,5.85
Expected survival of listed threatened ecological communities,2020,Transitional (Terrestrial - Freshwater),potential_loss,Percent,0.417857142857143
Expected survival of listed threatened ecological communities,2020,Transitional (Terrestrial - Marine),already_lost,Count,0
Expected survival of listed threatened ecological communities,2020,Transitional (Terrestrial - Marine),already_lost,Percent,0
Expected survival of listed threatened ecological communities,2020,Transitional (Terrestrial - Marine),exp_survival,Count,1.3
Expected survival of listed threatened ecological communities,2020,Transitional (Terrestrial - Marine),exp_survival,Percent,0.65
Expected survival of listed threatened ecological communities,2020,Transitional (Terrestrial - Marine),potential_loss,Count,0.7
Expected survival of listed threatened ecological communities,2020,Transitional (Terrestrial - Marine),potential_loss,Percent,0.35
Expected survival of listed threatened ecological communities,2022,Terrestrial,already_lost,Count,0
Expected survival of listed threatened ecological communities,2022,Terrestrial,already_lost,Percent,0
Expected survival of listed threatened ecological communities,2022,Terrestrial,exp_survival,Count,52.1
Expected survival of listed threatened ecological communities,2022,Terrestrial,exp_survival,Percent,0.548421052631579
Expected survival of listed threatened ecological communities,2022,Terrestrial,potential_loss,Count,42.9
Expected survival of listed threatened ecological communities,2022,Terrestrial,potential_loss,Percent,0.451578947368421
Expected survival of listed threatened ecological communities,2022,Transitional (Terrestrial - Freshwater),already_lost,Count,0
Expected survival of listed threatened ecological communities,2022,Transitional (Terrestrial - Freshwater),already_lost,Percent,0
Expected survival of listed threatened ecological communities,2022,Transitional (Terrestrial - Freshwater),exp_survival,Count,8.15
Expected survival of listed threatened ecological communities,2022,Transitional (Terrestrial - Freshwater),exp_survival,Percent,0.582142857142857
Expected survival of listed threatened ecological communities,2022,Transitional (Terrestrial - Freshwater),potential_loss,Count,5.85
Expected survival of listed threatened ecological communities,2022,Transitional (Terrestrial - Freshwater),potential_loss,Percent,0.417857142857143
Expected survival of listed threatened ecological communities,2022,Transitional (Terrestrial - Marine),already_lost,Count,0
Expected survival of listed threatened ecological communities,2022,Transitional (Terrestrial - Marine),already_lost,Percent,0
Expected survival of listed threatened ecological communities,2022,Transitional (Terrestrial - Marine),exp_survival,Count,1.3
Expected survival of listed threatened ecological communities,2022,Transitional (Terrestrial - Marine),exp_survival,Percent,0.65
Expected survival of listed threatened ecological communities,2022,Transitional (Terrestrial - Marine),potential_loss,Count,0.7
Expected survival of listed threatened ecological communities,2022,Transitional (Terrestrial - Marine),potential_loss,Percent,0.35
Expected survival of listed threatened species,1997,Other,already_lost,Count,0.99
Expected survival of listed threatened species,1997,Other,already_lost,Percent,0.0253846153846154
Expected survival of listed threatened species,1997,Other,exp_survival,Count,13.46
Expected survival of listed threatened species,1997,Other,exp_survival,Percent,0.345128205128205
Expected survival of listed threatened species,1997,Other,potential_loss,Count,24.55
Expected survival of listed threatened species,1997,Other,potential_loss,Percent,0.629487179487179
Expected survival of listed threatened species,1997,Tetrapods,already_lost,Count,35.64
Expected survival of listed threatened species,1997,Tetrapods,already_lost,Percent,0.113142857142857
Expected survival of listed threatened species,1997,Tetrapods,exp_survival,Count,194.6425
Expected survival of listed threatened species,1997,Tetrapods,exp_survival,Percent,0.617912698412698
Expected survival of listed threatened species,1997,Tetrapods,potential_loss,Count,84.7175
Expected survival of listed threatened species,1997,Tetrapods,potential_loss,Percent,0.268944444444444
Expected survival of listed threatened species,1997,Vascular plants,already_lost,Count,28.71
Expected survival of listed threatened species,1997,Vascular plants,already_lost,Percent,0.04125
Expected survival of listed threatened species,1997,Vascular plants,exp_survival,Count,364.07
Expected survival of listed threatened species,1997,Vascular plants,exp_survival,Percent,0.52308908045977
Expected survival of listed threatened species,1997,Vascular plants,potential_loss,Count,303.22
Expected survival of listed threatened species,1997,Vascular plants,potential_loss,Percent,0.43566091954023
Expected survival of listed threatened species,2002,Other,already_lost,Count,0.99
Expected survival of listed threatened species,2002,Other,already_lost,Percent,0.0253846153846154
Expected survival of listed threatened species,2002,Other,exp_survival,Count,13.46
Expected survival of listed threatened species,2002,Other,exp_survival,Percent,0.345128205128205
Expected survival of listed threatened species,2002,Other,potential_loss,Count,24.55
Expected survival of listed threatened species,2002,Other,potential_loss,Percent,0.629487179487179
Expected survival of listed threatened species,2002,Tetrapods,already_lost,Count,35.64
Expected survival of listed threatened species,2002,Tetrapods,already_lost,Percent,0.113142857142857
Expected survival of listed threatened species,2002,Tetrapods,exp_survival,Count,191.1225
Expected survival of listed threatened species,2002,Tetrapods,exp_survival,Percent,0.606738095238095
Expected survival of listed threatened species,2002,Tetrapods,potential_loss,Count,88.2375
