Group,Year,Status,Count
Mammals,2019,vulnerable,29
Birds,2019,vulnerable,35
Reptiles,2019,vulnerable,39
Frogs,2019,vulnerable,19
Fish,2019,vulnerable,5
Butterflies,2019,vulnerable,5
Crayfish,2019,vulnerable,1
Snails,2019,vulnerable,1
Mammals,2019,endangered,17
Birds,2019,endangered,29
Reptiles,2019,endangered,13
Frogs,2019,endangered,13
Fish,2019,endangered,4
Butterflies,2019,endangered,3
Crayfish,2019,endangered,1
Snails,2019,endangered,2
Mammals,2019,presumed extinct,8
Birds,2019,presumed extinct,1
Reptiles,2019,presumed extinct,0
Frogs,2019,presumed extinct,3
Fish,2019,presumed extinct,0
Butterflies,2019,presumed extinct,0
Crayfish,2019,presumed extinct,0
Snails,2019,presumed extinct,0
Mammals,2019,threatened,54
Birds,2019,threatened,65
Reptiles,2019,threatened,52
Frogs,2019,threatened,35
Fish,2019,threatened,9
Butterflies,2019,threatened,8
Crayfish,2019,threatened,2
Snails,2019,threatened,3
